Label,EmailText
ham,Did you finish the project presentation? pls
ham,"Hey, are we meeting later today? pls"
ham,Did you finish the project presentation? 
ham,I'll reach office by 10am. !!!
ham,Can you send me the report by evening? call
ham,Don't forget to buy groceries on your way home. 
ham,See you at the gym later! ok
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. pls
ham,I'll reach office by 10am. 
ham,Don't forget to buy groceries on your way home. call
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. ok
ham,Let's have lunch tomorrow at 1 pm. call
ham,Don't forget to buy groceries on your way home. reply
ham,Let's have lunch tomorrow at 1 pm. 
ham,Please find the attached document for your review. ok
ham,Did you finish the project presentation? reply
ham,Meeting got postponed to next week. !!!
ham,Meeting got postponed to next week. ok
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. call"
ham,Can you send me the report by evening? now
ham,Can you send me the report by evening? pls
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
ham,Please find the attached document for your review. 
ham,See you at the gym later! urgent
ham,I'll reach office by 10am. pls
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
ham,Please find the attached document for your review. ok
ham,See you at the gym later! urgent
ham,Did you finish the project presentation? call
ham,Can you send me the report by evening? 
ham,Call me when you are free. !!!
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
ham,Did you finish the project presentation? 
ham,Please find the attached document for your review. reply
ham,Can you send me the report by evening? pls
ham,Can you send me the report by evening? now
ham,Call me when you are free. urgent
spam,"You have won a lottery of $10,000! Send your details immediately to claim. urgent"
ham,Meeting got postponed to next week. call
ham,Can you send me the report by evening? call
ham,Can you send me the report by evening? !!!
ham,Meeting got postponed to next week. urgent
ham,Can you send me the report by evening? reply
ham,Let's have lunch tomorrow at 1 pm. ok
ham,Let's have lunch tomorrow at 1 pm. reply
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. urgent
ham,"Hey, are we meeting later today? !!!"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. !!!
ham,See you at the gym later! urgent
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,Did you finish the project presentation? call
ham,Call me when you are free. 
ham,Did you finish the project presentation? 
ham,Don't forget to buy groceries on your way home. 
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. reply"
ham,Please find the attached document for your review. ok
ham,Can you send me the report by evening? 
ham,Meeting got postponed to next week. call
ham,Call me when you are free. urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. now"
ham,Did you finish the project presentation? reply
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. reply
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. !!!
ham,Please find the attached document for your review. pls
ham,"Hey, are we meeting later today? ok"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. call
ham,See you at the gym later! now
ham,I'll reach office by 10am. urgent
ham,Can you send me the report by evening? urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. call"
spam,WINNER!! As a valued customer you have been selected for a £900 reward! call
ham,Don't forget to buy groceries on your way home. pls
ham,See you at the gym later! pls
ham,I'll reach office by 10am. call
ham,"Hey, are we meeting later today? ok"
ham,Don't forget to buy groceries on your way home. 
ham,See you at the gym later! call
ham,Did you finish the project presentation? ok
ham,Please find the attached document for your review. call
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. !!!"
ham,"Hey, are we meeting later today? "
ham,Meeting got postponed to next week. 
ham,Can you send me the report by evening? 
ham,"Hey, are we meeting later today? urgent"
ham,"Hey, are we meeting later today? reply"
ham,"Hey, are we meeting later today? now"
ham,See you at the gym later! 
spam,WINNER!! As a valued customer you have been selected for a £900 reward! ok
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. urgent
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. urgent"
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,Call me when you are free. call
spam,"You have won a lottery of $10,000! Send your details immediately to claim. urgent"
ham,Don't forget to buy groceries on your way home. ok
ham,Don't forget to buy groceries on your way home. urgent
ham,Don't forget to buy groceries on your way home. !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. urgent
ham,Don't forget to buy groceries on your way home. ok
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. reply"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. now"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. reply"
ham,Call me when you are free. call
ham,Can you send me the report by evening? ok
ham,Can you send me the report by evening? !!!
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. urgent"
ham,Let's have lunch tomorrow at 1 pm. reply
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. urgent
ham,Can you send me the report by evening? !!!
ham,"Hey, are we meeting later today? reply"
ham,See you at the gym later! !!!
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. call
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. ok
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. !!!
ham,Please find the attached document for your review. ok
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. urgent"
ham,I'll reach office by 10am. now
ham,"Hey, are we meeting later today? pls"
ham,Can you send me the report by evening? now
ham,Meeting got postponed to next week. urgent
ham,Can you send me the report by evening? pls
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. !!!
ham,See you at the gym later! 
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. !!!
ham,Did you finish the project presentation? !!!
ham,Call me when you are free. reply
ham,Please find the attached document for your review. ok
ham,Can you send me the report by evening? call
ham,Can you send me the report by evening? urgent
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
ham,Did you finish the project presentation? pls
ham,See you at the gym later! ok
ham,Did you finish the project presentation? ok
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! !!!"
ham,Can you send me the report by evening? !!!
spam,WINNER!! As a valued customer you have been selected for a £900 reward! now
ham,Can you send me the report by evening? ok
spam,WINNER!! As a valued customer you have been selected for a £900 reward! !!!
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. ok
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. call"
ham,See you at the gym later! ok
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. 
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. reply
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. pls"
ham,Meeting got postponed to next week. 
ham,Meeting got postponed to next week. ok
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. reply
ham,Please find the attached document for your review. call
ham,Did you finish the project presentation? call
ham,"Hey, are we meeting later today? now"
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! pls"
ham,Please find the attached document for your review. urgent
ham,See you at the gym later! pls
spam,WINNER!! As a valued customer you have been selected for a £900 reward! !!!
ham,See you at the gym later! !!!
ham,Can you send me the report by evening? call
ham,See you at the gym later! ok
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. reply"
ham,"Hey, are we meeting later today? now"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. ok
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. call
ham,Don't forget to buy groceries on your way home. ok
ham,I'll reach office by 10am. urgent
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
ham,Don't forget to buy groceries on your way home. !!!
ham,Call me when you are free. now
ham,See you at the gym later! call
ham,Don't forget to buy groceries on your way home. now
ham,See you at the gym later! now
ham,Can you send me the report by evening? call
ham,See you at the gym later! ok
ham,Don't forget to buy groceries on your way home. now
ham,I'll reach office by 10am. pls
ham,I'll reach office by 10am. reply
ham,Let's have lunch tomorrow at 1 pm. reply
ham,See you at the gym later! ok
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! reply"
ham,Can you send me the report by evening? !!!
ham,Don't forget to buy groceries on your way home. ok
ham,Don't forget to buy groceries on your way home. !!!
ham,Did you finish the project presentation? reply
ham,Don't forget to buy groceries on your way home. pls
ham,"Hey, are we meeting later today? reply"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. reply"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. call
spam,WINNER!! As a valued customer you have been selected for a £900 reward! urgent
ham,Please find the attached document for your review. ok
ham,I'll reach office by 10am. ok
ham,Can you send me the report by evening? urgent
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. 
ham,Can you send me the report by evening? !!!
ham,"Hey, are we meeting later today? call"
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! reply"
ham,Did you finish the project presentation? ok
ham,Please find the attached document for your review. now
ham,Did you finish the project presentation? ok
ham,Please find the attached document for your review. ok
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. urgent
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! now"
ham,Meeting got postponed to next week. pls
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! "
ham,Did you finish the project presentation? ok
ham,"Hey, are we meeting later today? now"
ham,Don't forget to buy groceries on your way home. call
ham,Meeting got postponed to next week. reply
ham,Let's have lunch tomorrow at 1 pm. urgent
ham,Call me when you are free. ok
ham,Did you finish the project presentation? pls
ham,Please find the attached document for your review. now
ham,See you at the gym later! pls
ham,Please find the attached document for your review. urgent
spam,WINNER!! As a valued customer you have been selected for a £900 reward! now
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
ham,"Hey, are we meeting later today? reply"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! reply"
ham,Meeting got postponed to next week. now
ham,Meeting got postponed to next week. now
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
ham,Let's have lunch tomorrow at 1 pm. pls
ham,I'll reach office by 10am. now
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. call"
ham,Please find the attached document for your review. 
ham,I'll reach office by 10am. urgent
ham,"Hey, are we meeting later today? pls"
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! !!!"
ham,Don't forget to buy groceries on your way home. !!!
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! pls"
ham,"Hey, are we meeting later today? pls"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! !!!"
ham,Please find the attached document for your review. urgent
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! "
ham,"Hey, are we meeting later today? ok"
ham,Don't forget to buy groceries on your way home. 
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
ham,"Hey, are we meeting later today? "
ham,Let's have lunch tomorrow at 1 pm. pls
ham,Can you send me the report by evening? urgent
ham,Please find the attached document for your review. now
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! ok"
ham,Call me when you are free. call
ham,Meeting got postponed to next week. ok
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Don't forget to buy groceries on your way home. call
spam,WINNER!! As a valued customer you have been selected for a £900 reward! now
spam,WINNER!! As a valued customer you have been selected for a £900 reward! ok
ham,Let's have lunch tomorrow at 1 pm. now
ham,Can you send me the report by evening? urgent
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
ham,Please find the attached document for your review. now
spam,"You have won a lottery of $10,000! Send your details immediately to claim. ok"
ham,Please find the attached document for your review. call
ham,Don't forget to buy groceries on your way home. 
ham,Call me when you are free. call
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Don't forget to buy groceries on your way home. 
spam,WINNER!! As a valued customer you have been selected for a £900 reward! ok
ham,Let's have lunch tomorrow at 1 pm. urgent
ham,Call me when you are free. reply
ham,Can you send me the report by evening? 
ham,Did you finish the project presentation? now
ham,Can you send me the report by evening? pls
ham,See you at the gym later! ok
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. call
spam,WINNER!! As a valued customer you have been selected for a £900 reward! now
ham,See you at the gym later! 
ham,Let's have lunch tomorrow at 1 pm. now
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. pls
ham,Please find the attached document for your review. 
ham,Please find the attached document for your review. 
ham,Meeting got postponed to next week. 
ham,"Hey, are we meeting later today? now"
ham,Can you send me the report by evening? urgent
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. pls
ham,I'll reach office by 10am. urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. call"
ham,I'll reach office by 10am. 
ham,Call me when you are free. !!!
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,Meeting got postponed to next week. urgent
ham,Call me when you are free. reply
ham,Meeting got postponed to next week. 
ham,Did you finish the project presentation? pls
ham,See you at the gym later! 
ham,I'll reach office by 10am. !!!
ham,Let's have lunch tomorrow at 1 pm. 
ham,Can you send me the report by evening? call
ham,Please find the attached document for your review. reply
ham,Meeting got postponed to next week. urgent
ham,Can you send me the report by evening? urgent
ham,Call me when you are free. !!!
ham,Did you finish the project presentation? !!!
ham,Did you finish the project presentation? ok
ham,See you at the gym later! pls
ham,Did you finish the project presentation? reply
ham,See you at the gym later! 
ham,Don't forget to buy groceries on your way home. !!!
spam,WINNER!! As a valued customer you have been selected for a £900 reward! now
ham,Meeting got postponed to next week. !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. now
ham,"Hey, are we meeting later today? urgent"
ham,I'll reach office by 10am. 
ham,Don't forget to buy groceries on your way home. urgent
ham,Don't forget to buy groceries on your way home. reply
ham,Please find the attached document for your review. now
ham,Please find the attached document for your review. reply
ham,I'll reach office by 10am. reply
ham,See you at the gym later! reply
ham,I'll reach office by 10am. pls
ham,Please find the attached document for your review. reply
ham,See you at the gym later! ok
ham,Meeting got postponed to next week. 
ham,Call me when you are free. pls
ham,Can you send me the report by evening? reply
ham,I'll reach office by 10am. reply
ham,Meeting got postponed to next week. urgent
ham,See you at the gym later! reply
ham,"Hey, are we meeting later today? "
spam,WINNER!! As a valued customer you have been selected for a £900 reward! pls
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
ham,Don't forget to buy groceries on your way home. reply
ham,See you at the gym later! now
ham,"Hey, are we meeting later today? ok"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. "
ham,Call me when you are free. urgent
ham,"Hey, are we meeting later today? !!!"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. urgent
ham,Let's have lunch tomorrow at 1 pm. urgent
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. call
ham,See you at the gym later! now
ham,Did you finish the project presentation? now
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. 
ham,I'll reach office by 10am. pls
ham,Please find the attached document for your review. 
ham,Did you finish the project presentation? now
ham,I'll reach office by 10am. 
ham,Please find the attached document for your review. pls
ham,Meeting got postponed to next week. now
ham,Call me when you are free. now
ham,Let's have lunch tomorrow at 1 pm. pls
ham,See you at the gym later! pls
ham,I'll reach office by 10am. urgent
spam,"You have won a lottery of $10,000! Send your details immediately to claim. call"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. reply
ham,Please find the attached document for your review. ok
ham,Don't forget to buy groceries on your way home. now
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. !!!
ham,Please find the attached document for your review. !!!
ham,Meeting got postponed to next week. 
spam,"You have won a lottery of $10,000! Send your details immediately to claim. !!!"
ham,I'll reach office by 10am. !!!
ham,Did you finish the project presentation? reply
ham,Meeting got postponed to next week. 
ham,Did you finish the project presentation? ok
ham,Can you send me the report by evening? pls
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
spam,"You have won a lottery of $10,000! Send your details immediately to claim. now"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. pls"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. pls"
ham,Don't forget to buy groceries on your way home. call
ham,Can you send me the report by evening? reply
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. !!!"
ham,Call me when you are free. 
ham,"Hey, are we meeting later today? pls"
ham,"Hey, are we meeting later today? !!!"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. !!!"
ham,Meeting got postponed to next week. pls
ham,"Hey, are we meeting later today? now"
ham,See you at the gym later! call
ham,I'll reach office by 10am. ok
ham,See you at the gym later! 
ham,I'll reach office by 10am. urgent
ham,See you at the gym later! urgent
spam,WINNER!! As a valued customer you have been selected for a £900 reward! call
ham,See you at the gym later! pls
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
ham,Don't forget to buy groceries on your way home. now
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
ham,Meeting got postponed to next week. reply
ham,Did you finish the project presentation? ok
ham,Please find the attached document for your review. pls
ham,Meeting got postponed to next week. reply
ham,Meeting got postponed to next week. now
spam,"You have won a lottery of $10,000! Send your details immediately to claim. !!!"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. reply
ham,Call me when you are free. reply
ham,Did you finish the project presentation? 
ham,Please find the attached document for your review. ok
ham,I'll reach office by 10am. !!!
ham,"Hey, are we meeting later today? now"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. urgent"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! "
ham,See you at the gym later! !!!
ham,"Hey, are we meeting later today? now"
ham,Don't forget to buy groceries on your way home. call
ham,Can you send me the report by evening? !!!
ham,Did you finish the project presentation? reply
ham,Don't forget to buy groceries on your way home. pls
ham,Meeting got postponed to next week. urgent
ham,Don't forget to buy groceries on your way home. now
ham,Can you send me the report by evening? ok
ham,I'll reach office by 10am. !!!
ham,Call me when you are free. now
ham,Did you finish the project presentation? !!!
ham,Let's have lunch tomorrow at 1 pm. pls
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. call
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
ham,Let's have lunch tomorrow at 1 pm. pls
ham,Meeting got postponed to next week. pls
ham,Can you send me the report by evening? call
ham,Did you finish the project presentation? urgent
ham,"Hey, are we meeting later today? ok"
spam,"You have won a lottery of $10,000! Send your details immediately to claim. call"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. pls
ham,I'll reach office by 10am. urgent
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! call"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. ok"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
ham,Did you finish the project presentation? call
ham,Can you send me the report by evening? ok
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. !!!
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. !!!
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. reply"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. urgent
ham,Don't forget to buy groceries on your way home. now
ham,"Hey, are we meeting later today? urgent"
ham,See you at the gym later! 
ham,See you at the gym later! ok
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. call
ham,"Hey, are we meeting later today? !!!"
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! urgent"
ham,Meeting got postponed to next week. urgent
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. !!!
ham,See you at the gym later! call
spam,WINNER!! As a valued customer you have been selected for a £900 reward! urgent
ham,I'll reach office by 10am. ok
spam,"You have won a lottery of $10,000! Send your details immediately to claim. urgent"
ham,Meeting got postponed to next week. !!!
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
ham,I'll reach office by 10am. call
ham,Can you send me the report by evening? !!!
spam,"You have won a lottery of $10,000! Send your details immediately to claim. pls"
ham,Don't forget to buy groceries on your way home. ok
ham,Did you finish the project presentation? 
ham,Can you send me the report by evening? 
ham,Please find the attached document for your review. urgent
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! "
ham,I'll reach office by 10am. 
ham,Can you send me the report by evening? !!!
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. call
ham,Call me when you are free. call
ham,Did you finish the project presentation? 
ham,Did you finish the project presentation? call
ham,"Hey, are we meeting later today? !!!"
ham,Meeting got postponed to next week. reply
ham,Don't forget to buy groceries on your way home. 
ham,Please find the attached document for your review. ok
spam,"You have won a lottery of $10,000! Send your details immediately to claim. !!!"
ham,Let's have lunch tomorrow at 1 pm. now
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! urgent"
ham,Meeting got postponed to next week. 
ham,"Hey, are we meeting later today? call"
ham,Did you finish the project presentation? ok
ham,Did you finish the project presentation? urgent
ham,See you at the gym later! 
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,Meeting got postponed to next week. call
ham,I'll reach office by 10am. urgent
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. pls
ham,Can you send me the report by evening? !!!
ham,See you at the gym later! !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. now
ham,Can you send me the report by evening? reply
ham,I'll reach office by 10am. now
ham,Call me when you are free. !!!
ham,See you at the gym later! reply
ham,Call me when you are free. !!!
ham,Let's have lunch tomorrow at 1 pm. ok
ham,See you at the gym later! ok
ham,I'll reach office by 10am. ok
ham,See you at the gym later! ok
ham,I'll reach office by 10am. reply
ham,Please find the attached document for your review. 
ham,I'll reach office by 10am. 
ham,"Hey, are we meeting later today? reply"
ham,Call me when you are free. pls
ham,"Hey, are we meeting later today? urgent"
ham,Call me when you are free. call
ham,Call me when you are free. reply
ham,Call me when you are free. !!!
ham,See you at the gym later! urgent
ham,See you at the gym later! !!!
ham,Call me when you are free. ok
spam,"You have won a lottery of $10,000! Send your details immediately to claim. now"
ham,Meeting got postponed to next week. ok
ham,I'll reach office by 10am. !!!
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! reply"
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. call
ham,See you at the gym later! !!!
ham,See you at the gym later! 
ham,Don't forget to buy groceries on your way home. now
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
ham,Let's have lunch tomorrow at 1 pm. pls
ham,Don't forget to buy groceries on your way home. now
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! "
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! ok"
spam,WINNER!! As a valued customer you have been selected for a £900 reward! ok
spam,"You have won a lottery of $10,000! Send your details immediately to claim. call"
ham,See you at the gym later! pls
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! pls"
ham,Please find the attached document for your review. call
ham,I'll reach office by 10am. call
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! reply"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. now
ham,Please find the attached document for your review. now
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. urgent
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,"Hey, are we meeting later today? pls"
ham,Can you send me the report by evening? now
ham,I'll reach office by 10am. call
ham,Did you finish the project presentation? 
ham,"Hey, are we meeting later today? reply"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. pls
spam,WINNER!! As a valued customer you have been selected for a £900 reward! call
ham,Let's have lunch tomorrow at 1 pm. now
ham,Let's have lunch tomorrow at 1 pm. urgent
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. call
ham,Meeting got postponed to next week. urgent
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
spam,WINNER!! As a valued customer you have been selected for a £900 reward! !!!
spam,WINNER!! As a valued customer you have been selected for a £900 reward! pls
ham,Call me when you are free. !!!
ham,Did you finish the project presentation? reply
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. pls"
ham,Meeting got postponed to next week. reply
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. !!!"
